Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
1,0.07,0.04,1.0,18.81437187247981,1,1de5495d95a1,0.1,3,0.8,625
2,0.07,0.04,2.0,26.239495201181,2,1de5495d95a1,0.1,3,0.8,625
3,0.07,0.04,2.0,33.97411617873283,3,1de5495d95a1,0.1,3,0.8,625
4,0.07,0.04,2.0,53.35750499277282,4,1de5495d95a1,0.1,3,0.8,625
5,0.07,0.04,6.0,90.0240051084656,5,1de5495d95a1,0.1,3,0.8,625
6,0.07,0.04,8.0,255.344072603787,6,1de5495d95a1,0.1,3,0.8,625
7,0.07,0.04,21.0,866.2730823073124,7,1de5495d95a1,0.1,3,0.8,625
8,0.07,0.04,44.0,2020.1303126590224,8,1de5495d95a1,0.1,3,0.8,625
9,0.07,0.04,79.0,4200.250992950161,9,1de5495d95a1,0.1,3,0.8,625
10,0.07,0.04,193.0,7852.945631506661,10,1de5495d95a1,0.1,3,0.8,625
11,0.07,0.04,454.0,11980.01893025064,11,1de5495d95a1,0.1,3,0.8,625
12,0.07,0.04,668.0,17102.817830426353,12,1de5495d95a1,0.1,3,0.8,625
13,0.07,0.04,880.0,23824.46352559408,13,1de5495d95a1,0.1,3,0.8,625
0,0.07,0.04,1.0,24.826108413234223,0,6323d05e3f67,0.1,3,0.8,625
1,0.07,0.04,3.0,46.34168717780277,1,6323d05e3f67,0.1,3,0.8,625
2,0.07,0.04,3.0,84.7025408498583,2,6323d05e3f67,0.1,3,0.8,625
3,0.07,0.04,4.0,196.24111022280127,3,6323d05e3f67,0.1,3,0.8,625
4,0.07,0.04,11.0,622.7150597471727,4,6323d05e3f67,0.1,3,0.8,625
5,0.07,0.04,34.0,2440.797207429392,5,6323d05e3f67,0.1,3,0.8,625
6,0.07,0.04,121.0,5405.738211120099,6,6323d05e3f67,0.1,3,0.8,625
7,0.07,0.04,255.0,9297.908358868808,7,6323d05e3f67,0.1,3,0.8,625
8,0.07,0.04,526.0,13544.122866103387,8,6323d05e3f67,0.1,3,0.8,625
9,0.07,0.04,747.0,17624.368639953307,9,6323d05e3f67,0.1,3,0.8,625
10,0.07,0.04,961.0,23214.25708431136,10,6323d05e3f67,0.1,3,0.8,625
11,0.07,0.04,1101.0,28234.048438154052,11,6323d05e3f67,0.1,3,0.8,625
12,0.07,0.04,1193.0,33325.58677947212,12,6323d05e3f67,0.1,3,0.8,625
13,0.07,0.04,1247.0,41822.49717037149,13,6323d05e3f67,0.1,3,0.8,625
0,0.07,0.04,1.0,20.17780426579344,0,8b3ce9188d5a,0.1,3,0.8,625
1,0.07,0.04,2.0,50.08637264659114,1,8b3ce9188d5a,0.1,3,0.8,625
2,0.07,0.04,2.0,182.4959171684797,2,8b3ce9188d5a,0.1,3,0.8,625
3,0.07,0.04,8.0,787.5548357674407,3,8b3ce9188d5a,0.1,3,0.8,625
4,0.07,0.04,35.0,2184.7329286207587,4,8b3ce9188d5a,0.1,3,0.8,625
5,0.07,0.04,110.0,4357.034729431613,5,8b3ce9188d5a,0.1,3,0.8,625
6,0.07,0.04,247.0,7601.971661397624,6,8b3ce9188d5a,0.1,3,0.8,625
7,0.07,0.04,455.0,11093.55637887359,7,8b3ce9188d5a,0.1,3,0.8,625
8,0.07,0.04,647.0,15173.760036346912,8,8b3ce9188d5a,0.1,3,0.8,625
9,0.07,0.04,850.0,20690.471202808058,9,8b3ce9188d5a,0.1,3,0.8,625
10,0.07,0.04,1025.0,26634.489472509533,10,8b3ce9188d5a,0.1,3,0.8,625
11,0.07,0.04,1137.0,32523.43261279493,11,8b3ce9188d5a,0.1,3,0.8,625
12,0.07,0.04,1211.0,40461.31726469124,12,8b3ce9188d5a,0.1,3,0.8,625
13,0.07,0.04,1267.0,47288.23106417267,13,8b3ce9188d5a,0.1,3,0.8,625
0,0.07,0.04,1.0,2.641601977001037,0,af3b9d6b5cbb,0.1,3,0.8,625
1,0.07,0.04,2.0,6.122439476022384,1,af3b9d6b5cbb,0.1,3,0.8,625
2,0.07,0.04,2.0,12.285426161808946,2,af3b9d6b5cbb,0.1,3,0.8,625
3,0.07,0.04,3.0,20.922798118705423,3,af3b9d6b5cbb,0.1,3,0.8,625
4,0.07,0.04,3.0,47.677579924265714,4,af3b9d6b5cbb,0.1,3,0.8,625
5,0.07,0.04,4.0,327.19874925077585,5,af3b9d6b5cbb,0.1,3,0.8,625
6,0.07,0.04,18.0,1091.8268466838815,6,af3b9d6b5cbb,0.1,3,0.8,625
7,0.07,0.04,42.0,2660.159809109585,7,af3b9d6b5cbb,0.1,3,0.8,625
8,0.07,0.04,83.0,5429.638337401075,8,af3b9d6b5cbb,0.1,3,0.8,625
9,0.07,0.04,244.0,8990.795207496813,9,af3b9d6b5cbb,0.1,3,0.8,625
10,0.07,0.04,502.0,13060.94291335885,10,af3b9d6b5cbb,0.1,3,0.8,625
11,0.07,0.04,728.0,17968.08274578334,11,af3b9d6b5cbb,0.1,3,0.8,625
