Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
2,0.09,0.03,1.0,3.352270371481028,2,da19ec9481cb,0.1,3,0.4,625
3,0.09,0.03,1.0,3.352271745944201,3,da19ec9481cb,0.1,3,0.4,625
4,0.09,0.03,1.0,3.3522718193905723,4,da19ec9481cb,0.1,3,0.4,625
5,0.09,0.03,1.0,3.352271823752298,5,da19ec9481cb,0.1,3,0.4,625
6,0.09,0.03,1.0,3.3522718239866887,6,da19ec9481cb,0.1,3,0.4,625
7,0.09,0.03,1.0,6.211108632212657,7,da19ec9481cb,0.1,3,0.4,625
8,0.09,0.03,3.0,20.77316328296559,8,da19ec9481cb,0.1,3,0.4,625
9,0.09,0.03,3.0,45.427116056262,9,da19ec9481cb,0.1,3,0.4,625
10,0.09,0.03,13.0,125.72620468440664,10,da19ec9481cb,0.1,3,0.4,625
11,0.09,0.03,24.0,358.92628577051136,11,da19ec9481cb,0.1,3,0.4,625
12,0.09,0.03,38.0,819.1981712967091,12,da19ec9481cb,0.1,3,0.4,625
13,0.09,0.03,89.0,2442.880238075621,13,da19ec9481cb,0.1,3,0.4,625
0,0.09,0.03,1.0,4.015370412926654,0,eaa26b14ca25,0.1,3,0.4,625
1,0.09,0.03,2.0,19.32567837984521,1,eaa26b14ca25,0.1,3,0.4,625
2,0.09,0.03,4.0,93.0142315203033,2,eaa26b14ca25,0.1,3,0.4,625
3,0.09,0.03,8.0,367.9200605488333,3,eaa26b14ca25,0.1,3,0.4,625
4,0.09,0.03,34.0,1227.2200314801191,4,eaa26b14ca25,0.1,3,0.4,625
5,0.09,0.03,81.0,2595.314583103241,5,eaa26b14ca25,0.1,3,0.4,625
6,0.09,0.03,159.0,4537.918922398439,6,eaa26b14ca25,0.1,3,0.4,625
7,0.09,0.03,347.0,7968.930254344774,7,eaa26b14ca25,0.1,3,0.4,625
8,0.09,0.03,557.0,13541.56974148835,8,eaa26b14ca25,0.1,3,0.4,625
9,0.09,0.03,786.0,18269.308262274862,9,eaa26b14ca25,0.1,3,0.4,625
10,0.09,0.03,1011.0,21232.47678987412,10,eaa26b14ca25,0.1,3,0.4,625
11,0.09,0.03,1127.0,23089.919877943525,11,eaa26b14ca25,0.1,3,0.4,625
12,0.09,0.03,1280.0,24734.6940389741,12,eaa26b14ca25,0.1,3,0.4,625
13,0.09,0.03,1415.0,27569.863961978197,13,eaa26b14ca25,0.1,3,0.4,625
