Unnamed: 0,b_w,b_b,monthly_cuml,months,seed,alpha,shift,D
11,0.07,0.03,11.0,11,3451d35d093f,0.1,3,0.8
12,0.07,0.03,35.0,12,3451d35d093f,0.1,3,0.8
13,0.07,0.03,75.0,13,3451d35d093f,0.1,3,0.8
0,0.07,0.03,1.0,0,f957fc56adc1,0.1,3,0.8
1,0.07,0.03,5.0,1,f957fc56adc1,0.1,3,0.8
2,0.07,0.03,8.0,2,f957fc56adc1,0.1,3,0.8
3,0.07,0.03,32.0,3,f957fc56adc1,0.1,3,0.8
4,0.07,0.03,101.0,4,f957fc56adc1,0.1,3,0.8
5,0.07,0.03,232.0,5,f957fc56adc1,0.1,3,0.8
6,0.07,0.03,413.0,6,f957fc56adc1,0.1,3,0.8
7,0.07,0.03,559.0,7,f957fc56adc1,0.1,3,0.8
8,0.07,0.03,671.0,8,f957fc56adc1,0.1,3,0.8
9,0.07,0.03,886.0,9,f957fc56adc1,0.1,3,0.8
10,0.07,0.03,1002.0,10,f957fc56adc1,0.1,3,0.8
11,0.07,0.03,1064.0,11,f957fc56adc1,0.1,3,0.8
12,0.07,0.03,1196.0,12,f957fc56adc1,0.1,3,0.8
13,0.07,0.03,1305.0,13,f957fc56adc1,0.1,3,0.8
0,0.07,0.03,9.0,0,76bae15e8ae9,0.1,3,0.8
1,0.07,0.03,24.0,1,76bae15e8ae9,0.1,3,0.8
2,0.07,0.03,56.0,2,76bae15e8ae9,0.1,3,0.8
3,0.07,0.03,188.0,3,76bae15e8ae9,0.1,3,0.8
4,0.07,0.03,376.0,4,76bae15e8ae9,0.1,3,0.8
5,0.07,0.03,579.0,5,76bae15e8ae9,0.1,3,0.8
6,0.07,0.03,783.0,6,76bae15e8ae9,0.1,3,0.8
7,0.07,0.03,893.0,7,76bae15e8ae9,0.1,3,0.8
8,0.07,0.03,951.0,8,76bae15e8ae9,0.1,3,0.8
9,0.07,0.03,1101.0,9,76bae15e8ae9,0.1,3,0.8
10,0.07,0.03,1176.0,10,76bae15e8ae9,0.1,3,0.8
