Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
5,0.08,0.03,9.0,370.3887588878575,5,cea3bd05d426,0.1,3,0.8,625
6,0.08,0.03,19.0,627.9465381844392,6,cea3bd05d426,0.1,3,0.8,625
7,0.08,0.03,32.0,960.948287755608,7,cea3bd05d426,0.1,3,0.8,625
8,0.08,0.03,54.0,2293.4198468518803,8,cea3bd05d426,0.1,3,0.8,625
9,0.08,0.03,172.0,5167.51976564344,9,cea3bd05d426,0.1,3,0.8,625
10,0.08,0.03,308.0,9246.670074644777,10,cea3bd05d426,0.1,3,0.8,625
11,0.08,0.03,556.0,14007.153512471446,11,cea3bd05d426,0.1,3,0.8,625
12,0.08,0.03,857.0,17926.235687826833,12,cea3bd05d426,0.1,3,0.8,625
13,0.08,0.03,1033.0,20741.69347058025,13,cea3bd05d426,0.1,3,0.8,625
0,0.08,0.03,10.0,473.2327362005368,0,1ccb8d961c15,0.1,3,0.8,625
1,0.08,0.03,26.0,1618.4459010253386,1,1ccb8d961c15,0.1,3,0.8,625
2,0.08,0.03,68.0,3696.453900637065,2,1ccb8d961c15,0.1,3,0.8,625
3,0.08,0.03,240.0,6812.776934940704,3,1ccb8d961c15,0.1,3,0.8,625
4,0.08,0.03,431.0,10397.92131745412,4,1ccb8d961c15,0.1,3,0.8,625
5,0.08,0.03,666.0,14182.82113427826,5,1ccb8d961c15,0.1,3,0.8,625
6,0.08,0.03,866.0,18406.10068358777,6,1ccb8d961c15,0.1,3,0.8,625
7,0.08,0.03,933.0,22113.738964243475,7,1ccb8d961c15,0.1,3,0.8,625
8,0.08,0.03,993.0,24150.94310160009,8,1ccb8d961c15,0.1,3,0.8,625
9,0.08,0.03,1168.0,25551.203138327,9,1ccb8d961c15,0.1,3,0.8,625
10,0.08,0.03,1206.0,26390.40699007937,10,1ccb8d961c15,0.1,3,0.8,625
11,0.08,0.03,1247.0,27561.80312548429,11,1ccb8d961c15,0.1,3,0.8,625
12,0.08,0.03,1396.0,28745.21309149108,12,1ccb8d961c15,0.1,3,0.8,625
13,0.08,0.03,1417.0,29901.48095618382,13,1ccb8d961c15,0.1,3,0.8,625
0,0.08,0.03,10.0,877.9777287389232,0,7cd0b80510ba,0.1,3,0.8,625
1,0.08,0.03,35.0,2220.9782642963974,1,7cd0b80510ba,0.1,3,0.8,625
2,0.08,0.03,80.0,4509.311975053927,2,7cd0b80510ba,0.1,3,0.8,625
3,0.08,0.03,281.0,8407.979932779992,3,7cd0b80510ba,0.1,3,0.8,625
4,0.08,0.03,522.0,12158.996698649573,4,7cd0b80510ba,0.1,3,0.8,625
