,node_lat,node_long,neigh_lat,neigh_long
174,6.39604377,0.0,6.891467023,0.0
175,6.39604377,0.0,20.309502747,0.0
176,6.39604377,0.0,4.342597191,0.0
177,6.39604377,0.0,7.676528234,0.0
178,6.39604377,0.0,11.952476906,0.0
179,6.39604377,0.0,22.254282903,0.0
180,6.39604377,0.0,24.393075621,0.0
181,6.39604377,0.0,11.725027097,0.0
182,6.39604377,0.0,12.11319811,0.0
183,6.39604377,0.0,12.017629042,0.0
184,6.39604377,0.0,10.110020964,0.0
185,6.39604377,0.0,17.501247243,0.0
186,6.39604377,0.0,10.075756973,0.0
187,7.676528234,0.0,70.790128306,0.0
188,7.676528234,0.0,6.891467023,0.0
189,7.676528234,0.0,20.309502747,0.0
190,7.676528234,0.0,6.39604377,0.0
191,7.676528234,0.0,4.342597191,0.0
192,7.676528234,0.0,11.952476906,0.0
193,7.676528234,0.0,22.254282903,0.0
194,7.676528234,0.0,14.279837015,0.0
195,7.676528234,0.0,24.393075621,0.0
196,7.676528234,0.0,16.845346518,0.0
197,7.676528234,0.0,5.695326751,0.0
198,7.676528234,0.0,6.182939494,0.0
199,7.676528234,0.0,13.387590061,0.0
200,7.676528234,0.0,25.471798052,0.0
201,7.676528234,0.0,11.453611597,0.0
202,7.676528234,0.0,69.232611588,0.0
203,7.676528234,0.0,55.798294359,0.0
204,11.952476906,0.0,70.790128306,0.0
205,11.952476906,0.0,6.891467023,0.0
206,11.952476906,0.0,6.39604377,0.0
207,11.952476906,0.0,4.342597191,0.0
208,11.952476906,0.0,7.676528234,0.0
209,11.952476906,0.0,22.254282903,0.0
210,11.952476906,0.0,24.393075621,0.0
211,11.952476906,0.0,16.845346518,0.0
212,11.952476906,0.0,6.856312521,0.0
213,11.952476906,0.0,29.277283858,0.0
214,11.952476906,0.0,6.182939494,0.0
215,11.952476906,0.0,39.186740427,0.0
216,11.952476906,0.0,9.231275489,0.0
217,11.952476906,0.0,26.951913011,0.0
218,11.952476906,0.0,87.232541053,0.0
219,11.952476906,0.0,11.725027097,0.0
220,11.952476906,0.0,149.102088463,0.0
221,11.952476906,0.0,26.67006964,0.0
222,11.952476906,0.0,17.635672416,0.0
223,11.952476906,0.0,17.69454432,0.0
224,11.952476906,0.0,13.387590061,0.0
225,11.952476906,0.0,25.471798052,0.0
226,11.952476906,0.0,6.866216929,0.0
227,11.952476906,0.0,9.27739216,0.0
228,11.952476906,0.0,30.957578952,0.0
229,11.952476906,0.0,7.596552305,0.0
230,11.952476906,0.0,10.110020964,0.0
231,11.952476906,0.0,7.662768857,0.0
232,11.952476906,0.0,13.352047978,0.0
233,11.952476906,0.0,17.501247243,0.0
234,11.952476906,0.0,14.129269059,0.0
235,11.952476906,0.0,69.232611588,0.0
236,11.952476906,0.0,55.798294359,0.0
237,11.952476906,0.0,9.723321295,0.0
238,11.952476906,0.0,1.926763288,0.0
239,11.952476906,0.0,8.470417781,0.0
240,11.952476906,0.0,14.914079569,0.0
241,22.254282903,0.0,70.790128306,0.0
242,22.254282903,0.0,6.891467023,0.0
243,22.254282903,0.0,6.39604377,0.0
244,22.254282903,0.0,4.342597191,0.0
245,22.254282903,0.0,7.676528234,0.0
246,22.254282903,0.0,11.952476906,0.0
247,22.254282903,0.0,14.279837015,0.0
248,22.254282903,0.0,24.393075621,0.0
249,22.254282903,0.0,16.845346518,0.0
250,22.254282903,0.0,5.547187136,1.0
251,22.254282903,0.0,3.530931163,0.0
252,22.254282903,0.0,87.232541053,0.0
253,22.254282903,0.0,17.167266676,0.0
254,22.254282903,0.0,12.11319811,0.0
255,22.254282903,0.0,17.635672416,0.0
256,22.254282903,0.0,17.69454432,0.0
257,22.254282903,0.0,13.387590061,0.0
258,22.254282903,0.0,25.471798052,0.0
259,22.254282903,0.0,12.017629042,0.0
260,22.254282903,0.0,10.110020964,0.0
261,22.254282903,0.0,3.807620271,0.0
262,22.254282903,0.0,13.352047978,0.0
263,22.254282903,0.0,17.501247243,0.0
264,22.254282903,0.0,14.129269059,0.0
265,22.254282903,0.0,11.453611597,0.0
266,22.254282903,0.0,69.232611588,0.0
267,22.254282903,0.0,35.296213123,0.0
268,22.254282903,0.0,55.798294359,0.0
269,22.254282903,0.0,8.867122627,0.0
270,22.254282903,0.0,3.822478015,0.0
271,14.279837015,0.0,70.790128306,0.0
272,14.279837015,0.0,13.627932806,0.0
273,14.279837015,0.0,6.891467023,0.0
274,14.279837015,0.0,20.309502747,0.0
275,14.279837015,0.0,82.132467318,0.0
276,14.279837015,0.0,6.125094563,0.0
277,14.279837015,0.0,28.217529498,0.0
278,14.279837015,0.0,8.127332825,0.0
279,14.279837015,0.0,29.66574588,0.0
280,14.279837015,0.0,6.832421315,0.0
281,14.279837015,0.0,9.231275489,0.0
282,14.279837015,0.0,26.951913011,0.0
283,14.279837015,0.0,11.725027097,0.0
284,14.279837015,0.0,26.67006964,0.0
285,14.279837015,0.0,12.11319811,0.0
286,14.279837015,0.0,17.635672416,0.0
287,14.279837015,0.0,21.4673368,0.0
288,14.279837015,0.0,13.387590061,0.0
289,14.279837015,0.0,31.467421346,0.0
290,14.279837015,0.0,12.017629042,0.0
291,14.279837015,0.0,8.087718499,0.0
292,14.279837015,0.0,10.110020964,0.0
293,14.279837015,0.0,7.662768857,0.0
294,14.279837015,0.0,13.352047978,0.0
295,14.279837015,0.0,17.501247243,0.0
296,14.279837015,0.0,69.232611588,0.0
297,14.279837015,0.0,10.075756973,0.0
298,14.279837015,0.0,35.296213123,0.0
299,14.279837015,0.0,55.798294359,0.0
300,14.279837015,0.0,19.854018686,0.0
301,14.279837015,0.0,14.914079569,0.0
302,14.279837015,0.0,40.709785723,0.0
303,24.393075621,0.0,70.790128306,0.0
304,24.393075621,0.0,13.627932806,0.0
305,24.393075621,0.0,6.891467023,0.0
306,24.393075621,0.0,20.309502747,0.0
307,24.393075621,0.0,6.39604377,0.0
308,24.393075621,0.0,7.676528234,0.0
309,24.393075621,0.0,11.952476906,0.0
310,24.393075621,0.0,22.254282903,0.0
311,24.393075621,0.0,14.279837015,0.0
312,24.393075621,0.0,7.827958431,0.0
313,24.393075621,0.0,16.845346518,0.0
314,24.393075621,0.0,40.806273654,0.0
315,24.393075621,0.0,9.727860711,0.0
316,24.393075621,0.0,25.210371297,0.0
317,24.393075621,0.0,13.731164167,0.0
318,24.393075621,0.0,29.277283858,0.0
319,24.393075621,0.0,24.749047509,0.0
320,24.393075621,0.0,26.964553761,0.0
321,24.393075621,0.0,233.692864157,0.0
322,24.393075621,0.0,25.388131117,0.0
323,24.393075621,0.0,16.171154926,0.0
324,24.393075621,0.0,2.937167089,0.0
325,24.393075621,0.0,5.810539423,0.0
326,24.393075621,0.0,4.453474372,0.0
327,24.393075621,0.0,3.530931163,0.0
328,24.393075621,0.0,18.425664971,0.0
329,24.393075621,0.0,76.190513876,0.0
330,24.393075621,0.0,28.221062884,0.0
331,24.393075621,0.0,26.67006964,0.0
332,24.393075621,0.0,12.11319811,0.0
333,24.393075621,0.0,17.635672416,0.0
334,24.393075621,0.0,12.052625476,0.0
335,24.393075621,0.0,21.4673368,0.0
336,24.393075621,0.0,17.69454432,0.0
337,24.393075621,0.0,12.128903099,0.0
338,24.393075621,0.0,13.387590061,0.0
339,24.393075621,0.0,25.471798052,0.0
340,24.393075621,0.0,6.866216929,0.0
341,24.393075621,0.0,2.18843452,0.0
342,24.393075621,0.0,30.957578952,0.0
343,24.393075621,0.0,12.017629042,0.0
344,24.393075621,0.0,8.087718499,0.0
345,24.393075621,0.0,8.894560264,0.0
346,24.393075621,0.0,7.596552305,0.0
347,24.393075621,0.0,10.110020964,0.0
348,24.393075621,0.0,3.807620271,0.0
349,24.393075621,0.0,7.662768857,0.0
350,24.393075621,0.0,13.352047978,0.0
351,24.393075621,0.0,17.501247243,0.0
352,24.393075621,0.0,14.129269059,0.0
353,24.393075621,0.0,69.232611588,0.0
354,24.393075621,0.0,11.880284756,0.0
355,24.393075621,0.0,12.094522896,0.0
356,24.393075621,0.0,10.075756973,0.0
357,24.393075621,0.0,17.030533555,0.0
358,24.393075621,0.0,35.296213123,0.0
359,24.393075621,0.0,55.798294359,0.0
360,24.393075621,0.0,5.778618585,0.0
361,24.393075621,0.0,9.723321295,0.0
362,24.393075621,0.0,8.867122627,0.0
363,7.827958431,0.0,70.790128306,0.0
364,7.827958431,0.0,11.952476906,0.0
365,7.827958431,0.0,16.845346518,0.0
366,7.827958431,0.0,49.446131829,0.0
367,7.827958431,0.0,2.484388825,0.0
368,7.827958431,0.0,4.453474372,0.0
369,7.827958431,0.0,26.951913011,0.0
370,7.827958431,0.0,18.521265883,1.0
371,7.827958431,0.0,13.40154723,0.0
372,7.827958431,0.0,4.609646425,0.0
373,7.827958431,0.0,2.18843452,0.0
374,7.827958431,0.0,30.957578952,0.0
375,7.827958431,0.0,12.017629042,0.0
376,7.827958431,0.0,8.087718499,0.0
377,7.827958431,0.0,69.232611588,0.0
378,16.845346518,0.0,70.790128306,0.0
379,16.845346518,0.0,13.627932806,0.0
380,16.845346518,0.0,6.891467023,0.0
381,16.845346518,0.0,20.309502747,0.0
382,16.845346518,0.0,6.39604377,0.0
383,16.845346518,0.0,7.676528234,0.0
384,16.845346518,0.0,22.254282903,0.0
385,16.845346518,0.0,14.279837015,0.0
386,16.845346518,0.0,24.393075621,0.0
387,16.845346518,0.0,7.827958431,0.0
388,16.845346518,0.0,9.727860711,0.0
389,16.845346518,0.0,5.695326751,0.0
390,16.845346518,0.0,8.375770465,0.0
391,16.845346518,0.0,31.940000062,0.0
392,16.845346518,0.0,25.448562517,0.0
393,16.845346518,0.0,13.248713101,0.0
394,16.845346518,0.0,17.926035137,0.0
395,16.845346518,0.0,11.802286831,0.0
396,16.845346518,0.0,233.692864157,0.0
397,16.845346518,0.0,25.388131117,0.0
398,16.845346518,0.0,10.545807272,0.0
399,16.845346518,0.0,19.802798823,0.0
400,16.845346518,0.0,5.943829326,0.0
401,16.845346518,0.0,10.85465712,0.0
402,16.845346518,0.0,26.951913011,0.0
403,16.845346518,0.0,87.232541053,0.0
404,16.845346518,0.0,18.425664971,0.0
405,16.845346518,0.0,15.611347975,1.0
406,16.845346518,0.0,26.67006964,0.0
407,16.845346518,0.0,12.11319811,0.0
408,16.845346518,0.0,17.635672416,0.0
409,16.845346518,0.0,12.052625476,0.0
410,16.845346518,0.0,21.4673368,0.0
411,16.845346518,0.0,17.69454432,0.0
412,16.845346518,0.0,12.128903099,0.0
413,16.845346518,0.0,13.387590061,0.0
414,16.845346518,0.0,25.471798052,0.0
415,16.845346518,0.0,6.866216929,0.0
416,16.845346518,0.0,4.609646425,0.0
417,16.845346518,0.0,2.18843452,0.0
418,16.845346518,0.0,30.957578952,0.0
419,16.845346518,0.0,12.017629042,0.0
420,16.845346518,0.0,8.087718499,0.0
421,16.845346518,0.0,7.596552305,0.0
422,16.845346518,0.0,10.110020964,0.0
423,16.845346518,0.0,7.662768857,0.0
424,16.845346518,0.0,13.352047978,0.0
425,16.845346518,0.0,17.501247243,0.0
426,16.845346518,0.0,14.129269059,0.0
427,16.845346518,0.0,69.232611588,0.0
428,16.845346518,0.0,12.094522896,0.0
429,16.845346518,0.0,10.075756973,0.0
430,16.845346518,0.0,17.030533555,0.0
431,16.845346518,0.0,35.296213123,0.0
432,16.845346518,0.0,6.3921964,0.0
433,16.845346518,0.0,55.798294359,0.0
434,16.845346518,0.0,2.193332663,0.0
435,16.845346518,0.0,10.35625697,0.0
436,16.845346518,0.0,19.854018686,0.0
437,16.845346518,0.0,8.149810633,0.0
438,16.845346518,0.0,8.867122627,0.0
439,16.845346518,0.0,4.440663079,0.0
440,59.079085118,0.0,70.790128306,0.0
441,59.079085118,0.0,22.254282903,0.0
442,59.079085118,0.0,40.806273654,0.0
443,59.079085118,0.0,9.727860711,0.0
444,59.079085118,0.0,19.860000042,0.0
445,59.079085118,0.0,7.666133462,0.0
446,59.079085118,0.0,16.174970412,0.0
447,59.079085118,0.0,50.729691391,0.0
448,59.079085118,0.0,7.949097095,0.0
449,59.079085118,0.0,11.111467247,0.0
450,59.079085118,0.0,39.625253586,0.0
451,59.079085118,0.0,233.692864157,0.0
452,59.079085118,0.0,25.388131117,0.0
453,59.079085118,0.0,70.32919481,0.0
454,59.079085118,0.0,110.667774495,0.0
455,59.079085118,0.0,8.470417781,0.0
456,59.079085118,0.0,34.599385905,0.0
457,59.079085118,0.0,20.12950993,0.0
458,59.079085118,0.0,15.245224461,0.0
459,59.079085118,0.0,16.860865597,0.0
460,59.079085118,0.0,6.887378238,0.0
461,59.079085118,0.0,10.939069804,0.0
462,59.079085118,0.0,21.568777428,0.0
463,59.079085118,0.0,6.56006233,0.0
464,59.079085118,0.0,8.149810633,0.0
465,59.079085118,0.0,32.512744515,0.0
466,59.079085118,0.0,10.937040822,0.0
467,59.079085118,0.0,15.731819137,0.0
468,59.079085118,0.0,16.261504351,0.0
469,59.079085118,0.0,10.321111206,0.0
470,9.727860711,0.0,70.790128306,0.0
471,9.727860711,0.0,40.806273654,0.0
472,9.727860711,0.0,59.079085118,0.0
473,9.727860711,0.0,5.646775288,0.0
474,9.727860711,0.0,23.004257875,0.0
475,9.727860711,0.0,6.182939494,0.0
476,9.727860711,0.0,2.643690724,0.0
477,9.727860711,0.0,11.802286831,0.0
478,9.727860711,0.0,17.030533555,0.0
479,9.727860711,0.0,2.193332663,0.0
480,9.727860711,0.0,4.167464205,0.0
481,9.727860711,0.0,15.245224461,0.0
